DATE,SUBSCRIBERS_GAINED,SUBSCRIBERS_LOST,VIEWS,WATCH_HOURS,LIKES,SHARES,COMMENTS,TOTAL_SUBSCRIBERS
2019-08-19,1,0,6,1,0,0,0,1
2019-08-20,1,0,11,1,0,0,0,2
2019-08-21,1,0,17,2,0,0,0,3
2019-08-22,1,0,16,2,0,0,0,4
2019-08-23,1,0,28,2,0,0,0,5
2019-08-24,1,0,45,4,1,0,0,6
2019-08-25,1,0,70,6,1,0,0,7
2019-08-26,1,0,48,4,1,0,0,8
2019-08-27,1,0,43,5,2,0,0,9
2019-08-28,2,0,47,5,2,0,0,11
2019-08-29,1,0,58,5,2,0,0,12
2019-08-30,2,0,67,6,2,0,0,14
2019-08-31,2,0,77,10,4,0,0,16
2019-09-01,1,0,80,9,4,0,0,17
2019-09-02,2,0,66,8,3,0,0,19
2019-09-03,2,0,79,10,4,0,0,21
2019-09-04,2,0,82,10,3,0,0,23
2019-09-05,2,0,91,11,4,0,0,25
2019-09-06,2,0,77,11,4,1,0,27
2019-09-07,2,0,105,18,7,1,0,29
2019-09-08,3,0,155,15,9,0,0,32
2019-09-09,3,0,91,11,7,1,0,35
2019-09-10,3,0,83,9,5,1,0,38
2019-09-11,2,0,109,14,6,1,0,40
2019-09-12,3,0,121,16,5,1,0,43
2019-09-13,3,0,115,13,7,1,0,46
2019-09-14,3,0,173,21,10,1,0,49
2019-09-15,4,0,185,21,9,1,0,53
2019-09-16,3,0,124,16,8,1,0,56
2019-09-17,3,0,115,18,7,1,0,59
2019-09-18,3,0,128,14,7,1,0,62
2019-09-19,5,0,149,18,8,1,0,67
2019-09-20,4,0,151,17,7,1,0,71
2019-09-21,4,0,228,27,13,1,1,75
2019-09-22,5,0,208,30,12,2,1,80
2019-09-23,4,0,155,19,8,2,0,84
2019-09-24,4,0,127,20,8,1,0,88
2019-09-25,3,0,170,20,10,2,1,91
2019-09-26,4,1,196,23,9,2,1,94
2019-09-27,5,1,149,22,9,2,1,98
2019-09-28,5,1,254,34,15,1,1,102
2019-09-29,5,1,285,30,16,2,1,106
2019-09-30,5,1,212,22,9,2,0,110
2019-10-01,5,1,184,26,10,2,1,114
2019-10-02,4,1,183,24,14,2,1,117
2019-10-03,5,1,161,26,11,2,1,121
2019-10-04,5,1,208,30,12,2,1,125
2019-10-05,6,1,380,43,18,2,1,130
2019-10-06,6,1,331,40,18,2,1,135
2019-10-07,5,1,218,26,14,2,1,139
2019-10-08,6,1,230,20,14,2,0,144
2019-10-09,6,1,227,28,13,2,1,149
2019-10-10,6,1,213,28,12,3,1,154
2019-10-11,7,1,256,30,16,2,1,160
2019-10-12,7,1,369,43,21,3,1,166
2019-10-13,7,1,368,43,25,3,1,172
2019-10-14,6,1,226,25,11,2,1,177
2019-10-15,6,1,288,28,15,2,1,182
2019-10-16,7,1,276,33,18,3,1,188
2019-10-17,8,1,249,38,15,3,1,195
2019-10-18,7,1,295,33,15,3,1,201
2019-10-19,7,1,389,51,24,3,1,207
2019-10-20,6,1,385,55,22,3,1,212
2019-10-21,6,1,261,32,16,3,1,217
2019-10-22,8,1,237,36,16,3,1,224
2019-10-23,9,1,306,33,16,3,1,232
2019-10-24,8,1,242,39,19,3,1,239
2019-10-25,9,1,265,37,18,4,2,247
2019-10-26,8,1,365,57,27,3,1,254
2019-10-27,7,2,464,52,30,3,1,259
2019-10-28,8,1,312,41,18,3,2,266
2019-10-29,9,1,311,47,17,3,1,274
2019-10-30,8,1,293,35,18,4,1,281
2019-10-31,10,2,293,38,19,4,1,289
2019-11-01,6,2,352,41,17,3,2,293
2019-11-02,9,1,485,66,28,4,2,301
2019-11-03,9,2,537,58,28,4,2,308
2019-11-04,8,1,321,30,25,3,1,315
2019-11-05,9,2,365,48,15,4,2,322
2019-11-06,7,2,411,46,20,3,2,327
2019-11-07,9,1,390,36,25,4,2,335
2019-11-08,10,2,359,41,22,4,2,343
2019-11-09,11,2,584,78,34,4,2,352
2019-11-10,9,2,564,78,33,4,2,359
2019-11-11,9,2,390,50,21,4,2,366
2019-11-12,9,2,383,45,17,5,2,373
2019-11-13,11,2,395,47,23,5,2,382
2019-11-14,10,2,416,47,21,4,2,390
2019-11-15,9,2,372,53,21,4,2,397
2019-11-16,11,2,564,66,33,5,2,406
2019-11-17,10,2,549,67,42,4,2,414
2019-11-18,11,2,362,55,30,4,2,423
2019-11-19,10,2,384,50,25,5,2,431
2019-11-20,10,2,450,58,23,5,2,439
2019-11-21,10,2,409,48,22,5,2,447
2019-11-22,9,2,478,51,26,4,1,454
2019-11-23,11,2,694,70,45,5,3,463
2019-11-24,11,2,562,79,37,4,3,472
2019-11-25,11,2,504,45,20,5,2,481
2019-11-26,11,2,518,51,28,4,2,490
2019-11-27,10,3,438,47,29,4,2,497
2019-11-28,11,2,513,59,22,4,2,506
2019-11-29,11,3,456,59,27,6,2,514
2019-11-30,11,3,765,69,43,5,2,522
2019-12-01,11,2,671,96,40,5,2,531
2019-12-02,12,2,425,71,26,5,2,541
2019-12-03,14,2,504,58,31,5,2,553
2019-12-04,12,3,525,54,27,5,2,562
2019-12-05,12,3,517,75,24,5,2,571
2019-12-06,12,3,480,51,23,5,2,580
2019-12-07,10,2,794,90,49,6,2,588
2019-12-08,12,2,860,91,46,5,3,598
